StudentID,CGPA,Internships,Projects,Workshops_Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,Backlogs,CommunicationScore,TechnicalScore,MockInterviews,GitHub_Repos,CompetitiveCoding,PlacementStatus,PackageLPA
STU0001,7.75,1,3,0,55.9,5.0,0,0,58.1,60.6,1,1.8,70.2,0,4,0,0,0.0
STU0002,7.05,0,3,1,64.6,4.3,0,0,61.4,62.8,2,4.1,50.5,1,8,2,0,0.0
STU0003,7.91,1,4,1,52.3,3.9,1,0,81.2,60.8,2,2.3,64.2,3,4,3,1,11.74
STU0004,8.88,0,0,2,94.8,3.3,0,1,95.7,84.2,1,3.0,76.0,4,0,0,1,14.53
STU0005,6.94,2,1,2,93.2,3.1,0,0,88.6,63.6,3,4.3,69.2,3,9,2,1,13.78
STU0006,6.94,3,4,0,54.7,3.4,0,0,55.9,76.0,1,4.4,75.8,2,2,0,0,0.0
STU0007,8.94,0,2,3,70.2,3.8,0,1,82.3,95.7,1,3.0,83.2,4,5,0,1,14.31
STU0008,8.04,3,2,2,57.8,1.8,1,1,64.0,69.0,3,3.0,53.3,1,4,1,0,0.0
STU0009,6.68,1,3,1,77.2,2.1,1,1,65.0,84.5,0,2.7,44.2,3,2,0,1,11.78
STU0010,7.8,0,3,0,75.6,2.9,1,1,66.5,91.7,1,2.3,64.3,2,2,1,0,0.0
STU0011,6.69,0,4,3,80.2,3.7,1,0,80.5,83.4,1,2.8,59.1,4,2,0,1,11.35
STU0012,6.69,1,5,4,73.0,3.3,1,0,83.5,69.8,2,1.9,79.1,3,6,2,1,12.29
STU0013,7.47,2,3,1,100.0,4.8,1,0,70.8,78.3,2,4.0,45.7,4,6,1,1,13.63
STU0014,5.1,2,1,1,52.6,2.2,0,1,71.0,53.3,2,3.8,83.4,1,3,1,0,0.0
STU0015,5.3,0,4,0,42.3,2.8,0,1,77.6,59.9,3,3.9,89.4,3,1,0,0,0.0
